,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
0,856,854,0,1,3,0,4,3,706.0,0.0,2,6,1.0,0.0,2,150.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,548.0,2.0,5,2,5,1,2003.0,1710,1,1,0,5,1,2,3,0,8450,4,65.0,3,0,10,3,196.0,2,1,0,4,5,61,4,7,2,0,3,0,1,4,8,0,1,8,856.0,0,2003,2003,2
1,1262,0,0,1,3,0,4,1,978.0,0.0,0,6,0.0,1.0,2,284.0,1,1,2,4,0,4,3,8,8,4,5,1,1,2,6,460.0,2.0,5,2,5,1,1976.0,1262,0,1,0,2,1,3,3,0,9600,2,80.0,3,0,5,3,0.0,3,1,0,7,24,0,7,6,2,0,3,0,1,4,8,0,1,6,1262.0,298,1976,1976,1
2,920,866,0,1,3,0,4,2,486.0,0.0,2,6,1.0,0.0,2,434.0,1,2,2,4,0,4,2,12,13,4,5,1,2,2,6,608.0,2.0,5,2,5,1,2001.0,1786,1,1,0,5,1,2,3,0,11250,4,68.0,0,0,10,3,162.0,2,1,0,11,5,42,4,7,2,0,3,0,1,4,8,0,1,6,920.0,0,2001,2002,2
3,961,756,0,1,3,0,1,3,216.0,0.0,0,6,1.0,0.0,4,540.0,1,2,2,4,272,4,3,13,15,4,2,1,0,1,6,642.0,3.0,5,3,5,5,1998.0,1717,0,1,2,5,1,2,3,0,9550,0,60.0,0,0,11,3,0.0,3,1,0,4,6,35,4,7,2,0,3,0,1,0,8,0,1,7,756.0,0,1915,1970,0
4,1145,1053,0,1,4,0,4,0,655.0,0.0,2,6,1.0,0.0,2,490.0,1,2,2,4,0,4,2,12,13,4,5,1,2,2,6,836.0,3.0,5,2,5,1,2000.0,2198,1,1,0,5,1,2,3,0,14260,2,84.0,0,0,10,3,350.0,2,1,0,3,15,84,4,8,2,0,3,0,1,4,8,0,1,9,1145.0,192,2000,2000,2
5,796,566,320,1,1,0,4,3,732.0,0.0,2,6,1.0,0.0,2,64.0,1,2,2,4,0,4,3,12,13,2,3,0,5,1,6,480.0,2.0,5,3,5,1,1993.0,1362,1,1,0,0,1,3,3,0,14115,4,85.0,0,0,9,3,0.0,3,3,700,1,11,30,4,5,2,0,3,0,1,4,8,0,1,5,796.0,40,1993,1995,3
6,1694,0,0,1,3,0,4,0,1369.0,0.0,2,6,1.0,0.0,0,317.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,636.0,2.0,5,2,5,1,2004.0,1694,0,1,0,2,1,2,3,0,10084,4,75.0,3,0,5,3,186.0,4,1,0,10,21,57,4,8,2,0,3,0,1,4,8,0,1,7,1686.0,255,2004,2005,1
7,1107,983,0,1,3,0,4,2,859.0,32.0,0,1,1.0,0.0,2,216.0,1,4,2,4,228,4,3,6,6,4,5,2,1,2,6,484.0,2.0,5,2,5,1,1973.0,2090,1,1,0,5,1,3,3,0,10382,0,80.0,0,0,10,3,240.0,4,3,350,2,14,204,5,7,2,0,3,0,1,4,8,0,1,7,1107.0,235,1973,1973,3
8,1022,752,0,1,2,0,4,3,0.0,0.0,6,6,0.0,0.0,4,952.0,1,0,2,1,205,4,3,3,15,4,5,2,0,2,2,468.0,2.0,5,3,1,5,1931.0,1774,0,1,2,0,2,3,3,0,6120,4,51.0,3,0,9,4,0.0,3,1,0,6,17,0,4,7,2,0,3,0,1,0,8,0,1,8,952.0,90,1931,1950,2
9,1077,0,0,1,2,1,4,3,851.0,0.0,2,6,1.0,0.0,4,140.0,1,0,0,4,0,4,3,8,8,4,5,2,0,1,6,205.0,1.0,5,2,2,1,1939.0,1077,0,1,0,1,2,3,3,0,7420,0,50.0,3,0,4,3,0.0,3,1,0,0,3,4,5,5,2,0,3,0,1,4,8,0,1,5,991.0,0,1939,1950,2
